id	source	reference	greedy	beam
10	مثال کے طور پر ، <ans> رینڈ </ans> پیپیرس میں مصری کسر کی توسیع میں بنیادی نمبروں اور مرکب نمبروں کے لئے کافی مختلف شکلیں ہیں۔	مصری پیپیرس کا نام کیا ہے جس سے پتہ چلتا ہے کہ شاید انہیں پرائم نمبروں کا علم تھا۔	کس قسم کی پیپیرس میں مصری ر کی توسیع میں بنیادی نمبروں اور مرکب نمبروں کے لئے کافی مختلف شکلیں ہیں؟	کس قسم کے پیپیرس میں مصری ر کی توسیع میں بنیادی نمبروں اور مرکب نمبروں کے لئے کافی مختلف شکلیں ہیں؟
11	1932 تک رائن کی عام طور پر قبول شدہ لمبائی <ans> 1,230 کلومیٹر (764 میل) </ans> تھی۔	1932 سے پہلے رائن کی قبول شدہ لمبائی کیا تھی؟	1932 تک رائن کی عام طور پر قبول شدہ لمبائی کتنی تھی؟	1932 تک رائن کی عام طور پر قبول شدہ لمبائی کتنی تھی؟
12	اس نے <ans> 1752 معاہدہ آف لاگسٹاؤن </ans> مکمل کیا جس میں مقامی ہندوستانیوں نے ، اپنے ہاف کنگ تاناچاریسن اور ایک ایروکیس نمائندے کے ذریعہ ، ان شرائط پر اتفاق کیا جس میں مونونگاہلا دریا کے منہ (موجودہ پیٹسبرگ ، پنسلوانیا کی سائٹ) پر ایک مضبوط گھر تعمیر کرنے کی اجازت شامل تھی۔	مقامی لوگوں اور انگریزوں کے ساتھ تجارت کے لئے کیا معاہدہ کیا گیا تھا؟	کس معاہدے نے مقامی ہندوستانیوں نے ایک مضبوط گھر تعمیر کیا؟	کون سا معاہدہ مقامی ہندوستانیوں نے ایک مضبوط گھر تعمیر کرنے کی اجازت دی؟
13	جیسے جیسے کوئی ملک ترقی کرتا ہے ، وہ زیادہ سرمایہ حاصل کرتا ہے ، جس کی وجہ سے اس سرمایہ کے مالکان کے پاس <ans> زیادہ دولت </ans> اور آمدنی ہوتی ہے اور عدم مساوات متعارف کروائی جاتی ہے۔	زیادہ سرمایہ کے مالکان کے پاس آخر میں کیا ہوتا ہے؟	اس سرمایہ کے مالکان کے پاس کتنے دولت ہیں؟	اس سرمایہ کے مالکان کے پاس کتنی دولتیں ہیں؟
14	معاہدوں کے حصے کے طور پر ، BSkyB اور ورجن میڈیا دونوں نے اپنے متعلقہ <ans> بنیادی چینلز </ans> کی نقل و حمل سے متعلق ایک دوسرے کے خلاف ہائی کورٹ کی تمام کارروائیوں کو ختم کرنے پر اتفاق کیا۔	ہائی کورٹ کی کارروائیوں کے بارے میں کیا منعقد کیا گیا تھا؟	کس قسم کی نقل و حمل سے متعلق ایک دوسرے کے خلاف ہائی کورٹ کی تمام کارروائیوں کو ختم کرنے پر اتفاق کیا گیا تھا؟	کس قسم کی نقل و حمل سے متعلق ایک دوسرے کے خلاف ہائی کورٹ کی تمام کارروائیوں کو ختم کرنے پر مجبور کیا گیا تھا؟
15	دو ہان چینی رہنماؤں ، شی تیانز ، لیو ہیما (劉黑馬 ، لیو نی) ، اور کھیتان <ans> شیاؤ زالا </ans> (萧札 stimul) نے منگول فوج میں بھاگ لیا اور 3 ٹومین کی کمانڈ کی۔	کون سا ختان لیڈر منگولوں کے پاس بھاگ گیا؟	کھیتان کس نے جیت لیا؟	کھیتان نے منگول فوج میں کیا بھاگ لیا؟
16	یہ شاید <ans> غیر متشدد احتجاج کے اصول </ans> کا پہلا جدید بیان ہے۔	The Mark of Anarchy میں کون سا اصول دکھایا گیا تھا؟	کس قسم کے اصول کا پہلا جدید بیان کیا گیا ہے؟	کس چیز کا پہلا جدید بیان کیا گیا ہے؟
17	یقینا ، کچھ پیچیدگی کی کلاسوں میں پیچیدہ <ans> تعریفیں </ans> ہوتی ہیں جو اس فریم ورک میں فٹ نہیں ہوتی ہیں۔	پیچیدگی کی کلاسوں کے لئے ایک فریم ورک قائم کرنے میں دشواری کس متغیر کی وجہ سے ہوسکتی ہے؟	کچھ پیچیدگی کی کلاسوں میں پیچیدہ کیا ہے؟	کچھ پیچیدگی کی کلاسوں میں پیچیدہ کیا ہے؟
18	بدترین صورت یہ ہے کہ جب ان پٹ کو ترتیب دیا جاتا ہے یا ریورس آرڈر میں ترتیب دیا جاتا ہے ، اور الگورتھم اس معاملے کے لئے وقت <ans> O(n2) </ans> لیتا ہے۔	وقت کی طرف سے اظہار کے طور پر ایک بدترین کیس پیچیدگی کی نشاندہی کرنے کے لئے استعمال کیا اظہار کیا ہے؟	ایک sclacts کے لئے ایک اور اصطلاح کیا ہے؟	جب ان پٹ کو ترتیب دیا جاتا ہے تو کیا ہوتا ہے؟
19	مزید <ans> 6،000 مربع کلومیٹر </ans> (2,300 مربع میل) گھاس کے لئے بویا جاتا ہے۔	وکٹوریہ کی کتنی زرعی زمینوں پر گھاس اگتی ہے؟	کتنے مربع میل کے گھاس کے لئے بویا جاتا ہے؟	میکسیکو سٹی میں کتنے مربع کلومیٹر ہیں؟
20	آکسیجن پر مشتمل نامیاتی مرکبات کی سب سے <ans> اہم </ans> کلاسوں میں شامل ہیں (جہاں R ایک نامیاتی گروپ ہے): الکحل (R-OH) ؛ ایتھر (R-O-R) ؛ کیٹون (R-CO-R) ؛ الڈی ہائڈس (R-CO-H) ؛ کاربوکسیلک ایسڈس (R-COOH) ؛ ایسٹرز (R-COO-R) ؛ ایسڈ اینہائڈرائڈز (R-CO-O-CO-R) ؛ اور امائڈس (R-C(O)-NR) ہیں۔	آکسیجن پر مشتمل مرکبات کو تجارت میں کس طرح سمجھا جاتا ہے؟	نامیاتی مرکبات کی سب سے زیادہ تر کلاسوں میں کتنے کلاسوں میں شامل ہیں؟	نامیاتی مرکبات کی سب سے اہم کلاسیں کیا ہیں؟
21	برطانیہ ، جرمنی ، <ans> اٹلی </ans> ، سوئٹزرلینڈ اور ناروے نے اتوار کے دن پرواز ، ڈرائیونگ اور کشتی پر پابندی عائد کردی۔	ایک ایسے ملک کا نام بتائیں جس نے اتوار کے دن کشتی چلانے، گاڑی چلانے اور پرواز کرنے پر پابندی عائد کی ہو۔	سوئٹزرلینڈ اور ناروے کے ساتھ ساتھ، کون سا ملک سوئٹزرلینڈ اور ناروے کے دن پرواز، ڈرائیونگ اور کشتی پر پابندی عائد کرتا ہے؟	سوئٹزرلینڈ اور ناروے کے ساتھ ساتھ ، کون سا ملک سوئٹزرلینڈ اور ناروے کے دن پرواز، ڈرائیونگ اور کشتی پر پابندی عائد کرتا ہے؟
22	ہارورڈ میں <ans> ییل یونیورسٹی </ans> کے ساتھ ایک شدید ایتھلیٹک دشمنی ہے جس کا اختتام دی گیم میں ہوتا ہے ، حالانکہ ہارورڈ-ییل ریگاٹا فٹ بال کھیل سے پہلے کا ہے۔	ہارورڈ کا سب سے شدید حریف کیا ہے؟	کون سا یونیورسٹی ایک شدید ایتھلیٹک دشمنی ہے جس کے ساتھ ایک شدید ایتھلیٹک دشمنی ہے؟	ایک شدید ایتھلیٹک دشمنی کہاں ہے؟
23	<ans> 1332 </ans> میں توگ تیمور کی موت کے بعد اور اسی سال رینچنبال (شہنشاہ ننگزونگ) کی بعد کی موت کے بعد ، 13 سالہ توگھون تیمور (شہنشاہ ہیزونگ) ، کوبلائی خان کے نو جانشینوں میں سے آخری ، کو گوانگسی سے واپس بلایا گیا اور تخت پر فائز ہوا۔	ٹگ تیمور کب مر گیا؟	کس سال میں رینچنبال کی موت کے بعد رینچنبال کی موت کے بعد پانانبال کی موت ہوئی؟	رینچنبال کب مر گیا؟
24	غیر متعین ٹورنگ مشین کا اس سے بہت کم تعلق ہے کہ ہم جسمانی طور پر الگورتھم کا حساب لگانا چاہتے ہیں ، لیکن اس کی شاخیں بہت سے ریاضیاتی ماڈل کو بالکل پکڑتی ہیں جن کا ہم تجزیہ کرنا چاہتے ہیں ، لہذا <ans> غیر متعین وقت </ans> کمپیوٹیشنل مسائل کا تجزیہ کرنے میں ایک بہت اہم وسیلہ ہے۔	غیر متعین ٹورنگ مشینوں سے وابستہ کمپیوٹیشنل مسائل کے تجزیے میں سب سے اہم وسائل کیا ہے؟	کس وقت کے دوران ایک ہی نعینے کی وجہ سے ایک اہم اہم وسیلہ ہے؟	کون سا وقت کمپیوٹیشنل مسائل کا تجزیہ کرتا ہے؟
25	نائیجیریا کے بارے میں 2013 کی ایک رپورٹ سے پتہ چلتا ہے کہ ترقی <ans> آمدنی کی عدم مساوات میں اضافے کے ساتھ بڑھ گئی ہے۔ </ans>	نائیجیریا کے بارے میں 2013 کی ایک رپورٹ سے پتہ چلتا ہے کہ اس کی ترقی نے کیا کیا ہے؟	نائیجیریا کے بارے میں کیا خیال ہے کہ ترقی کیا جاتا ہے؟	نائیجیریا کے بارے میں خیال کیا جاتا ہے کہ ترقی کیا ہے؟
26	خلا میں شمسی ہوا کے سامنے ایک سلیکون ویفر کا تجزیہ اور گرے ہوئے جینیسس خلائی جہاز کے ذریعہ واپس کیا گیا ہے اس سے پتہ چلتا ہے کہ سورج میں زمین کے مقابلے میں <ans> آکسیجن 16 </ans> کا زیادہ تناسب ہے۔	سورج میں زمین کے مقابلے میں کس مالیکیول کا تناسب زیادہ ہے؟	سورج میں زمین کے مقابلے میں کس قسم کی قسم کی خصوصیت ہے؟	سورج میں زمین کے مقابلے میں کس قسم کا تناسب استعمال کیا جاتا ہے؟
27	جیسا کہ یہ ڈچ سرحد کے قریب آتا ہے ، رائن کی سالانہ اوسط ڈسچارج <ans> 2،290 میٹر 3 / س </ans> (81,000 مکعب فٹ / س) اور اوسط چوڑائی 400 میٹر (1,300 فٹ) ہے۔	ہالینڈ کی سرحد پر رائن کتنا بہاؤ کرتا ہے؟	رائن کی سالانہ اوسط ڈسچارج کیا ہے؟	رائن کی سالانہ اوسط ڈسچارج کیا ہے؟
28	اس کے برعکس ، امیونٹی کا ہومورل نظریہ ، جس میں دوسروں کے درمیان <ans> رابرٹ کوچ اور ایمل وان بیرنگ </ans> کے ذریعہ منعقد کیا گیا تھا ، نے کہا کہ فعال امیون ایجنٹ اس کے خلیوں کے بجائے امیونٹس میں پائے جانے والے گھلنشیل اجزاء (مالیکیول) تھے۔	کون سے دو سائنسدان قوت مدافعت کے مزاحیہ نظریہ کے حامی تھے؟	امیونٹی کا ہومورل نظریہ کس نے بنایا؟	امیونٹی کا ہومورل نظریہ کس نے بنایا؟
29	جدید زبانوں میں رائن کے نام کی تمام شکلیں گال نام ریونوس سے ماخوذ ہیں ، جسے رومن دور کے جغرافیہ ( <ans> پہلی </ans> صدی قبل مسیح) میں یونانی ⁇ ῆνος (Rhēnos) ، لاطینی Rhenus کے طور پر اپنایا گیا تھا۔	رائن کا نام کس صدی سے آیا ہے؟	رومن دور کے دور کے دوران کس صدی میں جدید زبانوں میں رائن کے نام کی شکل ہے؟	کس صدی قبل مسیح میں جدید زبانوں میں رائن کے نام سے جانا جاتا تھا؟
30	<ans> اقتصادی ماہر </ans> سائمن کوزنیٹس نے استدلال کیا کہ معاشی عدم مساوات کی سطح بڑے پیمانے پر ترقی کے مراحل کا نتیجہ ہے۔	سائمن Kuznets کیا پیشے ہے؟	سائمن کوزنیٹس نے کس قسم کے سائمن کو استدلال کیا کہ معاشی عدم مساوات کی سطح بڑے پیمانے پر ترقی کے مراحل کا نتیجہ ہے؟	سائمن کوزنیٹس نے کیا استدلال کیا کہ معاشی عدم مساوات کی سطح بڑے پیمانے پر ترقی کے مراحل کا نتیجہ ہے؟
31	سول نافرمانی کی سب سے قدیم عکاسی سوفوکلس کے ڈرامے اینٹیگون میں ہے ، جس میں اینٹیگون ، تھبیس کے سابق بادشاہ ، اوڈیپس کی بیٹیوں میں سے ایک ، تھبیس کے موجودہ بادشاہ ، کریون کو چیلنج کرتی ہے ، جو اسے <ans> اپنے بھائی پولینیکس کو مناسب تدفین دینے </ans> سے روکنے کی کوشش کر رہا ہے۔	کریون اینٹیگون کو ڈرامے میں کیا کرنے سے روکنے کی کوشش کر رہا ہے؟	تھبیس کے موجودہ بادشاہ کیا تھے؟	تھبیس کا موجودہ بادشاہ کون تھا؟
32	خلائی سوٹ کی صورت میں ، سانس لینے والی گیس میں O 2 جزوی دباؤ ، عام طور پر ، تقریبا <ans> 30 kPa </ans> (1.4 گنا معمول) ہوتا ہے ، اور خلائی مسافر کے شریان کے خون میں O 2 جزوی دباؤ عام سطح سمندر O 2 جزوی دباؤ سے صرف تھوڑا سا زیادہ ہوتا ہے۔	خلائی سوٹ کا آکسیجن جزوی دباؤ کیا ہے؟	سانس لینے والی گیس میں کتنے فیصد لوگ سانس لینے والی گیس میں پشتے ہیں؟	سانس لینے والی گیس میں کتنے لوگ ہیں؟
33	اور پھر بھی دوسرے سول نافرمانی کرنے والے ، انارکیسٹ ہونے کی وجہ سے ، کسی بھی حکومت کی قانونی حیثیت پر یقین نہیں کرتے ہیں ، اور اس وجہ سے <ans> جرائم کے قانون کی خلاف ورزی کے لئے سزا قبول کرنے کی ضرورت نہیں دیکھتے ہیں۔ </ans>	انارکیسٹ کس وجہ سے سزا قبول نہیں کرنا چاہتے ہیں؟	کیا ایک قانون کی قانونی حیثیت پر یقین نہیں کرتا ہے کہ ایک دوسرے کے قانون کی خلاف ورزی کے لئے سزا قبول کرنے کی ضرورت ہے؟	کیا کسی بھی حکومت کی قانونی حیثیت پر یقین نہیں کرتا؟
34	Dà Yuán (大元) جملے سے ہے 大乾哉元 (dà zai Qián Yuán / Great is Qián ، the Primal) Qián (I Ching) کے بارے میں <ans> تبدیلیوں کے کلاسیکی پر تبصرے </ans> (I Ching) سیکشن میں۔	کس تحریر نے عظیم یوآن کے نام کو متاثر کیا؟	Yuán Yuán کا کیا مطلب ہے؟	Yuán Yuán کا کیا مطلب ہے؟
35	ایمیزون بیسن پیلیولیکس اور ایمیزون فین سے <ans> سیڈمنٹ ڈپازٹ </ans> کے تجزیے سے پتہ چلتا ہے کہ ایل جی ایم کے دوران بیسن میں بارش موجودہ کے مقابلے میں کم تھی ، اور یہ تقریبا یقینی طور پر بیسن میں مرطوب اشنکٹبندیی نباتات کے احاطے میں کمی سے منسلک تھا۔	ماضی اور حال میں ایمیزون کی بارشوں کا موازنہ کرنے کے لئے کیا تجزیہ کیا گیا ہے؟	ایمیزون بیسن کے لئے کون سا دوسرا گروپ استعمال کیا جاتا ہے؟	ایمیزون بیسن کا کون سا حصہ بیسن میں بارش کا سبب بنا؟
36	سامراجیت کا ایک متنازعہ پہلو <ans> ظاہری طور پر عقلی بنیادوں پر مبنی سلطنت سازی کا دفاع اور جواز </ans> ہے۔	سامراجیت کا سب سے متنازعہ پہلو کیا ہے؟	سامراجیت کا ایک متنازعہ پہلو کیا ہے؟	سامراجیت کا ایک متنازعہ پہلو کیا ہے؟
37	وارسا کے زوال اور پولینڈ کی تاریخ کو وارسا بغاوت میوزیم اور <ans> کیٹین </ans> میوزیم میں پایا جاسکتا ہے جو جرم کی یاد کو محفوظ رکھتا ہے۔	کون سا میوزیم اس جرم کی یاد کو محفوظ رکھتا ہے؟	وارسا بغاوت میوزیم اور پولینڈ کی تاریخ کے ساتھ ساتھ، وارسا بغاوت میوزیم کس قسم کے میوزیم میں پایا جا سکتا ہے؟	وارسا بغاوت میوزیم کا نام کیا ہے؟
38	1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ پر فتح حاصل کی اور بادشاہ ہیرالڈ دوم کو <ans> ہیسٹنگس کی لڑائی میں </ans> مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	بادشاہ ہیرالڈ دوم نے کس جنگ میں بادشاہ ہیرالڈ دوم کو کیا کہا؟	بادشاہ ہیرالڈ دوم کو کس جنگ میں مارا گیا تھا؟
39	سکاٹش پارلیمنٹ کے <ans> چوتھے </ans> سیشن میں موجودہ لازمی کمیٹیاں یہ ہیں: پبلک آڈٹ؛ مساوی مواقع؛ یورپی اور بیرونی تعلقات؛ خزانہ؛ عوامی درخواستیں؛ معیارات ، طریقہ کار اور عوامی تقرریاں؛ اور تفویض کردہ اختیارات اور قانون کی اصلاح۔	اسکاٹ لینڈ کی پارلیمنٹ کس سیشن میں ہے؟	کس قسم کے سیشن میں موجودہ لازمی کمیٹی کا موجودہ کردار ہے؟	کس قسم کے سیشن میں موجودہ لازمی کمیٹی کا موجودہ کردار ہے؟
40	سیاسی طاقت <ans> زمین </ans> کو فتح کرنے سے بڑھی ، تاہم ثقافتی اور معاشی پہلوؤں نے سمندر اور تجارتی راستوں کے ذریعے ترقی کی۔	زیادہ تر سامراجیت نقل و حمل کے کس طریقہ کار کا استعمال کرتے ہوئے انجام دیا گیا تھا؟	کس قسم کے زمین کو سیاسی طاقت کا سامنا کرنا پڑا؟	سیاسی طاقت کس چیز کو کنٹرول کرتا ہے؟
41	اس نے <ans> خالی </ans> پیدا کرنے کے لئے کنڈینسنگ بھاپ کا استعمال کیا جس کو نیچے سے پانی اٹھانے کے لئے استعمال کیا گیا تھا ، پھر اس نے بھاپ کے دباؤ کا استعمال کرتے ہوئے اسے بلند کرنے کے لئے استعمال کیا۔	تجارتی طور پر استعمال ہونے والا پہلا بھاپ سے چلنے والا آلہ کیا تھا؟	ڈسنگ بھاپ کا استعمال کرنے کے لئے کنڈینسنگ بھاپ کا استعمال کیا گیا تھا؟	کس قسم کی بھاپ نے بھاپ کا استعمال کیا؟
42	مثال کے طور پر ، مربع نمبر فیلڈز کی حلقے میں پرائم آئیڈیلز کو مربع باہمی ثابت کرنے میں استعمال کیا جاسکتا ہے ، ایک بیان جو <ans> کواڈریٹک مساوات کی حل پذیری </ans> سے متعلق ہے۔	مربع باہمی تعاون کیا حاصل کرنے کی کوشش کرتا ہے؟	مربع نمبر فیلڈز کی حلقے میں پرائم آئیڈیلز کو مربع باہمی ثابت کرنے میں کیا مدد ملی؟	مربع نمبر فیلڈز کی حلقے میں پرائم آئیڈیلز کو مربع باہمی ثابت کرنے میں کیا مدد ملی؟
43	درحقیقت ، نائب صدر اگنیو کے لئے یہ ایک کوڈ ورڈ بن گیا ہے جو <ans> گولڈروں ، آتشزدگی کرنے والوں ، ڈرافٹ فرار کرنے والوں ، مہم ہیکرز ، کیمپس عسکریت پسندوں ، جنگ مخالف مظاہرین ، نوجوان مجرموں اور سیاسی قاتلوں </ans> کی سرگرمیوں کو بیان کرتا ہے۔	نائب صدر ایگنیو نے شہری نافرمانی کو کس سرگرمی میں بیان کیا ہے؟	نائب صدر اگنیو کے لئے کون سے دو مضامین کی سرگرمیوں کو بیان کرتا ہے؟	نائب صدر اگنیو کے لئے کون ذمہ دار ہے؟
44	ایس آر <ans> 99 </ans> کے ساتھ شہروں میں تیزی سے بڑھتی ہوئی آبادی اور ٹریفک کے ساتھ ساتھ وفاقی فنڈنگ کی خواہش کی وجہ سے ، اسے انٹرسٹیٹ معیارات تک اپ گریڈ کرنے اور بالآخر اسے انٹرسٹیٹ سسٹم میں شامل کرنے کے لئے بہت بحث کی گئی ہے۔	کون سا ریاستی روٹ بین ریاستی معیارات کو اپ گریڈ کرنے کے لئے بحث میں ہے؟	کس سال میں ایس آر کا استعمال کیا گیا تھا؟	کس سال میں ایس آر کا استعمال کیا گیا تھا؟
45	اس بات کے شواہد موجود ہیں کہ پچھلے 21،000 سالوں میں <ans> آخری برفانی زیادہ سے زیادہ (ایل جی ایم) اور اس کے بعد کے برفانی خاتمے </ans> کے ذریعے ایمیزون بارش کے جنگلات کی نباتات میں اہم تبدیلیاں آئی ہیں۔	ایمیزون کے بارش کے جنگلات کی نباتات میں تبدیلی کا سبب کیا ہے؟	کیا cppcps کے جنگلات کی نباتات میں اہم تبدیلیاں ہیں؟	کس قسم کے خاتمے کے ذریعے ایمیزون بارش کے جنگلات کی نباتات میں اہم تبدیلیاں آئی ہیں؟
46	صرف چار سال بعد ، <ans> میتھیو مرے </ans> کی طرف سے کامیاب جڑواں سلنڈر لوکوموٹو سالمنکا کو ایج ریلڈ ریک اور پنون مڈلٹن ریلوے نے استعمال کیا تھا۔	سالامانکا کو کس نے ڈیزائن کیا؟	کس نے تعصے کو ایج ریلڈ ریک اور پنون مڈلٹن ریلوے کا استعمال کیا؟	جنوب مشرقی ایشیا کا کون سا حصہ ایج ریلڈ ریک اور پنون مڈلٹن ریلوے کا استعمال کرتا تھا؟
47	اس کی الیکٹرونگیٹیویٹی کی وجہ سے ، آکسیجن تقریبا all تمام دوسرے عناصر کے ساتھ کیمیائی بانڈز بناتا ہے تاکہ متعلقہ <ans> آکسائڈ </ans> مل سکے۔	آکسیجن سے منسلک مرکبات کی عام شکل کیا ہے؟	ایک ہی تخایٹییٹی کی وجہ سے کیا ہوا؟	کون سے دو دوسرے عناصر کے ساتھ ایک کیمیائی بانڈز بناتا ہے؟
48	نیوٹن کے قوانین اور عام طور پر نیوٹن میکانکس کو سب سے پہلے یہ بیان کرنے کے لئے تیار کیا گیا تھا کہ قوتیں <ans> تین جہتی اشیاء </ans> کے بجائے مثالی نقطہ ذرات کو کس طرح متاثر کرتی ہیں۔	نیوٹن کی میکانکس نے کیا متاثر نہیں کیا؟	نیوٹن میکانکس کو سب سے پہلے بیان کرنے کے لئے کیا استعمال کیا گیا تھا؟	نیوٹن میکانکس کو سب سے پہلے کیا کہا جاتا ہے؟
49	اسکاٹش پارلیمنٹ کا ایک رکن <ans> پرائیویٹ ممبر </ans> کی حیثیت سے بل متعارف کروا سکتا ہے۔	ایک ایم ایس پی کس کے طور پر ایک بل پیش کر سکتا ہے؟	اسکاٹش پارلیمنٹ کا رکن کون تھا؟	اسکاٹش پارلیمنٹ کا رکن کون تھا؟
